company,role,location,yearsOfExperience,offerDate,totalCompensation,currency,level,baseSalary,baseSalaryCurrency,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,userCurrency,exchangeRate,ipAddress
StartupA,Tech Lead,Remote,0.0,2024-12-24,2068844,INR,IC4,1748883,INR,190131,INR,129830,INR,INR,1.0,192.168.140.205
Wipro,Senior Software Engineer,Hyderabad,7.2,2022-08-01,1304707,INR,IC3,1144611,INR,0,INR,160096,INR,INR,1.0,192.168.100.87
StartupB,Engineering Manager,SF Bay Area,0.4,2024-09-01,89677,USD,M1,75504,USD,13279,USD,894,USD,USD,83.0,192.168.233.101
Wipro,Data Scientist,Chennai,8.3,2021-07-05,998252,INR,IC3,856894,INR,0,INR,141358,INR,INR,1.0,192.168.222.119
Amazon,Software Engineer,Seattle,7.1,2024-06-25,168215,USD,IC2,98025,USD,41292,USD,28898,USD,USD,83.0,192.168.226.98
UnicornX,Product Manager,Seattle,2.9,2021-01-12,95774,USD,IC3,76335,USD,11962,USD,7477,USD,USD,83.0,192.168.58.167
Microsoft,Engineering Manager,Bengaluru,7.3,2021-01-20,12456853,INR,M1,8034187,INR,2739711,USD,1682955,INR,INR,1.0,192.168.40.62
Amazon,Product Manager,Chennai,14.4,2021-12-09,12441355,INR,IC4,7544400,INR,2759448,USD,2137507,INR,INR,1.0,192.168.197.95
Amazon,Data Scientist,Pune,0.6,2026-03-10,3066855,INR,IC2,1907080,INR,851908,USD,307867,INR,INR,1.0,192.168.28.149
Google,Tech Lead,Pune,1.6,2026-12-07,5890057,INR,IC4,3774364,INR,1399069,USD,716624,INR,INR,1.0,192.168.20.152
Meta,Software Engineer,Chennai,11.2,2023-02-26,4837366,INR,IC2,3071869,INR,1257914,USD,507583,INR,INR,1.0,192.168.252.145
Google,Tech Lead,Pune,10.3,2024-11-11,12877640,INR,IC4,7934585,INR,2664328,USD,2278727,INR,INR,1.0,192.168.4.218
StartupB,Product Manager,Bengaluru,9.7,2024-08-23,8626403,INR,IC4,7298616,INR,979601,INR,348186,INR,INR,1.0,192.168.40.112
Amazon,Engineering Manager,Pune,4.9,2026-09-25,9722994,INR,M1,5610248,INR,2730410,USD,1382336,INR,INR,1.0,192.168.124.120
StartupB,Engineering Manager,Pune,2.0,2023-02-09,3061881,INR,M1,2395097,INR,228262,INR,438522,INR,INR,1.0,192.168.226.116
Meta,Product Manager,Pune,5.7,2025-08-28,8294820,INR,IC3,5116401,INR,1937999,USD,1240420,INR,INR,1.0,192.168.84.47
TCS,Senior Software Engineer,Seattle,7.2,2023-10-23,48408,USD,IC3,42794,USD,0,USD,5614,USD,USD,83.0,192.168.226.71
Infosys,Software Engineer,Pune,6.1,2022-12-14,767325,INR,IC2,658796,INR,0,INR,108529,INR,INR,1.0,192.168.126.143
Meta,Engineering Manager,Hyderabad,4.8,2026-01-03,14763058,INR,M1,9170579,INR,3614254,USD,1978225,INR,INR,1.0,192.168.76.57
StartupB,Engineering Manager,SF Bay Area,8.8,2023-09-17,250006,USD,M1,204104,USD,21726,USD,24176,USD,USD,83.0,192.168.89.109
Infosys,Tech Lead,Seattle,1.2,2026-05-09,42035,USD,IC4,37637,USD,0,USD,4398,USD,USD,83.0,192.168.60.31
Meta,Tech Lead,Bengaluru,5.0,2026-03-07,11643919,INR,IC4,7028111,INR,3216271,USD,1399537,INR,INR,1.0,192.168.56.190
TCS,Tech Lead,Chennai,8.1,2025-09-20,1778202,INR,IC4,1685132,INR,0,INR,93070,INR,INR,1.0,192.168.73.252
Microsoft,Senior Software Engineer,Seattle,2.2,2022-12-18,109964,USD,IC3,64449,USD,25317,USD,20198,USD,USD,83.0,192.168.33.71
Google,Software Engineer,Pune,4.0,2023-08-04,3341938,INR,IC2,2071138,INR,710589,USD,560211,INR,INR,1.0,192.168.224.4
Wipro,Tech Lead,Hyderabad,7.0,2024-03-02,1506256,INR,IC4,1346663,INR,0,INR,159593,INR,INR,1.0,192.168.65.241
TCS,Software Engineer,Remote,6.8,2021-11-22,721904,INR,IC2,618966,INR,0,INR,102938,INR,INR,1.0,192.168.14.39
Amazon,Data Scientist,Seattle,2.0,2021-07-20,110544,USD,IC2,71786,USD,23418,USD,15340,USD,USD,83.0,192.168.153.203
Wipro,Senior Software Engineer,Remote,6.3,2025-05-28,1101679,INR,IC3,1036515,INR,0,INR,65164,INR,INR,1.0,192.168.151.254
StartupB,Tech Lead,Pune,7.6,2025-02-25,5803245,INR,IC4,4387387,INR,847337,INR,568521,INR,INR,1.0,192.168.54.161
Meta,Tech Lead,Chennai,10.9,2021-02-06,11854488,INR,IC4,6706152,INR,2576945,USD,2571391,INR,INR,1.0,192.168.1.105
TCS,Engineering Manager,Pune,0.0,2024-04-10,950160,INR,M1,835310,INR,0,INR,114850,INR,INR,1.0,192.168.181.73
TCS,Software Engineer,Chennai,8.3,2022-11-19,767496,INR,IC2,723281,INR,0,INR,44215,INR,INR,1.0,192.168.170.206
Meta,Product Manager,Bengaluru,8.3,2025-05-27,18551675,INR,IC4,10620480,INR,3986735,USD,3944460,INR,INR,1.0,192.168.37.19
Google,Senior Software Engineer,Remote,8.6,2023-08-04,9019240,INR,IC3,5703984,INR,2634694,USD,680562,INR,INR,1.0,192.168.120.177
UnicornX,Engineering Manager,Hyderabad,10.3,2023-02-20,8813282,INR,M1,7051042,INR,875860,INR,886380,INR,INR,1.0,192.168.11.228
StartupB,Engineering Manager,Seattle,4.6,2025-11-27,210328,USD,M1,163012,USD,12437,USD,34879,USD,USD,83.0,192.168.221.148
Wipro,Software Engineer,Remote,2.5,2026-03-16,576877,INR,IC1,523588,INR,0,INR,53289,INR,INR,1.0,192.168.133.167
TCS,Tech Lead,SF Bay Area,3.8,2025-08-03,54636,USD,IC4,48822,USD,0,USD,5814,USD,USD,83.0,192.168.121.90
StartupB,Tech Lead,Seattle,16.4,2026-07-23,282140,USD,IC4,214556,USD,18645,USD,48939,USD,USD,83.0,192.168.127.74
StartupB,Data Scientist,Bengaluru,9.1,2024-02-25,3798667,INR,IC3,2882451,INR,285811,INR,630405,INR,INR,1.0,192.168.104.222
Infosys,Software Engineer,Chennai,3.9,2025-01-07,665515,INR,IC2,596433,INR,0,INR,69082,INR,INR,1.0,192.168.133.93
Wipro,Product Manager,Chennai,6.3,2024-04-09,1198522,INR,IC4,1109830,INR,0,INR,88692,INR,INR,1.0,192.168.141.34
UnicornX,Product Manager,Chennai,2.8,2024-10-26,2919411,INR,IC3,2225008,INR,430072,INR,264331,INR,INR,1.0,192.168.62.182
Amazon,Tech Lead,Pune,2.7,2021-02-15,5242784,INR,IC4,3173065,INR,1097424,USD,972295,INR,INR,1.0,192.168.243.31
Amazon,Product Manager,Chennai,6.2,2023-08-16,6698410,INR,IC4,4024989,INR,1522833,USD,1150588,INR,INR,1.0,192.168.63.117
Infosys,Senior Software Engineer,Hyderabad,15.6,2022-09-24,2042812,INR,IC3,1924711,INR,0,INR,118101,INR,INR,1.0,192.168.226.35
Microsoft,Tech Lead,Remote,0.0,2024-01-10,3879911,INR,IC4,2439578,INR,879643,USD,560690,INR,INR,1.0,192.168.186.77
Wipro,Data Scientist,Chennai,3.0,2024-08-18,798611,INR,IC2,747920,INR,0,INR,50691,INR,INR,1.0,192.168.124.89
StartupA,Data Scientist,Remote,2.4,2025-12-08,2041263,INR,IC2,1721367,INR,279572,INR,40324,INR,INR,1.0,192.168.147.99
Meta,Product Manager,Bengaluru,8.3,2023-07-13,12837365,INR,IC4,8016556,INR,3472800,USD,1348009,INR,INR,1.0,192.168.254.170
Amazon,Product Manager,Bengaluru,0.6,2022-02-28,4136228,INR,IC3,2482684,INR,1071358,USD,582186,INR,INR,1.0,192.168.217.113
Microsoft,Data Scientist,Hyderabad,3.9,2021-11-05,3696540,INR,IC2,2300151,INR,890858,USD,505531,INR,INR,1.0,192.168.20.121
UnicornX,Tech Lead,Pune,13.9,2026-06-28,9045703,INR,IC4,7143829,INR,524936,INR,1376938,INR,INR,1.0,192.168.173.220
Infosys,Product Manager,Seattle,0.3,2026-08-28,35699,USD,IC3,32910,USD,0,USD,2789,USD,USD,83.0,192.168.139.10
Wipro,Software Engineer,SF Bay Area,15.5,2026-05-08,59982,USD,IC2,55090,USD,0,USD,4892,USD,USD,83.0,192.168.192.24
StartupB,Software Engineer,Remote,0.0,2026-05-01,941892,INR,IC1,715886,INR,62764,INR,163242,INR,INR,1.0,192.168.12.84
Google,Tech Lead,Seattle,11.7,2023-07-19,436639,USD,IC4,258957,USD,97990,USD,79692,USD,USD,83.0,192.168.175.203
Amazon,Senior Software Engineer,SF Bay Area,8.0,2021-11-08,285380,USD,IC3,174353,USD,67993,USD,43034,USD,USD,83.0,192.168.128.234
Wipro,Senior Software Engineer,SF Bay Area,1.8,2024-08-09,30506,USD,IC3,27876,USD,0,USD,2630,USD,USD,83.0,192.168.171.3
TCS,Tech Lead,Chennai,0.0,2025-08-12,729374,INR,IC4,631490,INR,0,INR,97884,INR,INR,1.0,192.168.253.151
UnicornX,Engineering Manager,Hyderabad,4.9,2026-04-13,5005516,INR,M1,3879324,INR,673394,INR,452798,INR,INR,1.0,192.168.219.124
Microsoft,Senior Software Engineer,Hyderabad,13.3,2025-12-10,9789499,INR,IC3,5735627,INR,2247544,USD,1806328,INR,INR,1.0,192.168.6.251
StartupB,Tech Lead,Bengaluru,4.0,2025-01-20,4890908,INR,IC4,4091278,INR,625210,INR,174420,INR,INR,1.0,192.168.191.128
UnicornX,Senior Software Engineer,Pune,12.5,2023-05-22,4220921,INR,IC3,3258131,INR,291299,INR,671491,INR,INR,1.0,192.168.194.185
Amazon,Engineering Manager,Bengaluru,11.2,2026-08-02,22791953,INR,M1,14008711,INR,5262509,USD,3520733,INR,INR,1.0,192.168.149.94
Amazon,Software Engineer,Seattle,1.6,2023-03-26,84284,USD,IC1,52656,USD,18337,USD,13291,USD,USD,83.0,192.168.139.225
StartupA,Data Scientist,Pune,6.9,2023-08-26,2772272,INR,IC3,2309434,INR,209853,INR,252985,INR,INR,1.0,192.168.76.192
StartupA,Software Engineer,Hyderabad,6.3,2021-11-24,1844576,INR,IC2,1409396,INR,270507,INR,164673,INR,INR,1.0,192.168.173.251
StartupB,Data Scientist,Seattle,6.5,2021-09-04,104917,USD,IC3,86983,USD,5392,USD,12542,USD,USD,83.0,192.168.117.95
UnicornX,Data Scientist,Hyderabad,13.1,2026-04-16,4705606,INR,IC3,3971669,INR,286264,INR,447673,INR,INR,1.0,192.168.7.159
Infosys,Tech Lead,Pune,15.6,2022-11-27,1898894,INR,IC4,1737042,INR,0,INR,161852,INR,INR,1.0,192.168.119.233
UnicornX,Engineering Manager,Hyderabad,5.3,2021-05-16,5257921,INR,M1,4016934,INR,760433,INR,480554,INR,INR,1.0,192.168.30.25
Meta,Data Scientist,SF Bay Area,7.3,2024-12-23,229256,USD,IC3,136491,USD,61222,USD,31543,USD,USD,83.0,192.168.243.139
StartupB,Data Scientist,Chennai,5.1,2026-02-27,2545772,INR,IC3,1948667,INR,232909,INR,364196,INR,INR,1.0,192.168.126.158
StartupB,Tech Lead,Bengaluru,3.3,2026-04-28,5069201,INR,IC4,3989730,INR,478220,INR,601251,INR,INR,1.0,192.168.93.26
StartupA,Data Scientist,Chennai,7.6,2023-02-28,2754997,INR,IC3,2082929,INR,213755,INR,458313,INR,INR,1.0,192.168.211.117
Microsoft,Engineering Manager,SF Bay Area,10.0,2026-01-26,688648,USD,M1,422795,USD,204604,USD,61249,USD,USD,83.0,192.168.86.63
Amazon,Data Scientist,SF Bay Area,9.7,2021-10-07,279734,USD,IC3,177067,USD,71450,USD,31217,USD,USD,83.0,192.168.209.223
Meta,Tech Lead,Remote,2.3,2022-03-05,4966625,INR,IC4,3027645,INR,1131037,USD,807943,INR,INR,1.0,192.168.139.65
Amazon,Software Engineer,Chennai,9.4,2021-04-19,4626757,INR,IC2,2605699,INR,1091101,USD,929957,INR,INR,1.0,192.168.83.5
Amazon,Tech Lead,Bengaluru,5.9,2022-12-03,10021314,INR,IC4,6255022,INR,2531470,USD,1234822,INR,INR,1.0,192.168.122.115
StartupA,Data Scientist,Pune,11.7,2021-10-02,3590611,INR,IC3,2855256,INR,259080,INR,476275,INR,INR,1.0,192.168.187.201
Infosys,Tech Lead,Hyderabad,8.5,2026-01-16,2079539,INR,IC4,1968081,INR,0,INR,111458,INR,INR,1.0,192.168.217.103
StartupB,Engineering Manager,Bengaluru,5.0,2024-02-11,7434917,INR,M1,6105852,INR,701531,INR,627534,INR,INR,1.0,192.168.156.38
Microsoft,Senior Software Engineer,Seattle,9.7,2025-06-13,363542,USD,IC3,222963,USD,92643,USD,47936,USD,USD,83.0,192.168.153.136
UnicornX,Product Manager,Pune,11.9,2025-02-28,6724667,INR,IC4,5332795,INR,869564,INR,522308,INR,INR,1.0,192.168.168.167
Infosys,Engineering Manager,Remote,9.1,2022-07-11,2278583,INR,M1,2139154,INR,0,INR,139429,INR,INR,1.0,192.168.212.117
StartupB,Product Manager,Chennai,7.5,2021-05-12,3809562,INR,IC4,2976239,INR,309536,INR,523787,INR,INR,1.0,192.168.245.40
TCS,Software Engineer,Bengaluru,6.4,2021-02-24,861421,INR,IC2,740239,INR,0,INR,121182,INR,INR,1.0,192.168.190.96
Amazon,Data Scientist,Bengaluru,2.3,2025-11-04,5813649,INR,IC2,3753655,INR,1489273,USD,570721,INR,INR,1.0,192.168.106.91
StartupB,Engineering Manager,Bengaluru,1.5,2023-10-17,3378507,INR,M1,2736729,INR,287729,INR,354049,INR,INR,1.0,192.168.55.40
TCS,Senior Software Engineer,Remote,11.2,2021-02-25,1594319,INR,IC3,1443858,INR,0,INR,150461,INR,INR,1.0,192.168.72.147
Meta,Product Manager,Remote,8.8,2025-11-18,11820813,INR,IC4,7468894,INR,3089456,USD,1262463,INR,INR,1.0,192.168.7.156
UnicornX,Software Engineer,SF Bay Area,5.9,2023-06-12,69363,USD,IC2,56896,USD,5611,USD,6856,USD,USD,83.0,192.168.2.47
Amazon,Data Scientist,Chennai,6.3,2024-01-03,4932300,INR,IC3,2747087,INR,1351928,USD,833285,INR,INR,1.0,192.168.192.136
Meta,Product Manager,Hyderabad,10.4,2024-12-11,11613379,INR,IC4,6783254,INR,2752432,USD,2077693,INR,INR,1.0,192.168.199.242
Wipro,Data Scientist,Bengaluru,2.3,2021-10-02,751072,INR,IC2,650096,INR,0,INR,100976,INR,INR,1.0,192.168.173.21
UnicornX,Product Manager,Chennai,7.9,2024-05-07,4288395,INR,IC4,3424567,INR,403986,INR,459842,INR,INR,1.0,192.168.194.132
Microsoft,Tech Lead,Hyderabad,2.3,2021-08-17,5219289,INR,IC4,3018443,INR,1397979,USD,802867,INR,INR,1.0,192.168.171.79
Google,Senior Software Engineer,Hyderabad,7.1,2025-04-25,7185753,INR,IC3,3991529,INR,1584044,USD,1610180,INR,INR,1.0,192.168.36.196
UnicornX,Tech Lead,Seattle,3.9,2021-03-05,119693,USD,IC4,89862,USD,14926,USD,14905,USD,USD,83.0,192.168.98.137
Meta,Data Scientist,Pune,0.0,2026-12-02,2072566,INR,IC2,1307002,INR,429451,USD,336113,INR,INR,1.0,192.168.112.5
TCS,Software Engineer,Remote,2.8,2023-12-21,525194,INR,IC1,476530,INR,0,INR,48664,INR,INR,1.0,192.168.107.75
Microsoft,Product Manager,Bengaluru,7.4,2023-08-27,12709237,INR,IC4,7208518,INR,3746193,USD,1754526,INR,INR,1.0,192.168.177.236
StartupA,Software Engineer,Hyderabad,9.9,2021-09-03,2532445,INR,IC2,1960952,INR,275751,INR,295742,INR,INR,1.0,192.168.102.223
UnicornX,Engineering Manager,Seattle,5.9,2022-09-21,169710,USD,M1,132935,USD,11339,USD,25436,USD,USD,83.0,192.168.30.136
Infosys,Senior Software Engineer,Remote,5.9,2023-11-27,1095878,INR,IC3,1036506,INR,0,INR,59372,INR,INR,1.0,192.168.38.61
Microsoft,Senior Software Engineer,Seattle,7.5,2022-11-03,219977,USD,IC3,124804,USD,47358,USD,47815,USD,USD,83.0,192.168.46.244
TCS,Product Manager,Remote,8.3,2025-10-21,2173693,INR,IC4,1945217,INR,0,INR,228476,INR,INR,1.0,192.168.163.253
Wipro,Tech Lead,Remote,5.5,2026-08-15,1801603,INR,IC4,1610590,INR,0,INR,191013,INR,INR,1.0,192.168.162.78
UnicornX,Data Scientist,Bengaluru,9.1,2023-08-02,4288504,INR,IC3,3433950,INR,347544,INR,507010,INR,INR,1.0,192.168.15.95
UnicornX,Software Engineer,Chennai,7.0,2021-08-19,1856802,INR,IC2,1506796,INR,186993,INR,163013,INR,INR,1.0,192.168.142.245
Google,Product Manager,Remote,6.4,2025-03-02,8143376,INR,IC4,4740688,INR,2015998,USD,1386690,INR,INR,1.0,192.168.116.27
StartupA,Engineering Manager,Bengaluru,6.1,2025-12-15,8110062,INR,M1,6606560,INR,437248,INR,1066254,INR,INR,1.0,192.168.254.113
Infosys,Data Scientist,Pune,12.5,2022-05-13,1518323,INR,IC3,1345826,INR,0,INR,172497,INR,INR,1.0,192.168.105.199
StartupA,Engineering Manager,Pune,15.7,2021-02-11,8757017,INR,M2,7258890,INR,1004697,INR,493430,INR,INR,1.0,192.168.25.143
